ticker,title,sentiment,score,url
BBRI,"Mesin CASA BRI Panas! QRIS, BRImo, hingga BRILink Dorong Likuiditas",positive,2,https://www.cnbcindonesia.com/market/20260430094314-17-731198/mesin-casa-bri-panas-qris-brimo-hingga-brilink-dorong-likuiditas
BBRI,Kinerja Pegadaian & PNM Ngebut! Holding Ultramikro Topang Laba BRI,positive,2,https://www.cnbcindonesia.com/market/20260430095433-17-731201/kinerja-pegadaian-pnm-ngebut-holding-ultramikro-topang-laba-bri
BBRI,"Video: BRI Cetak Laba Bersih Rp 15,5 Triliun di Q1-2026",positive,2,https://www.cnbcindonesia.com/market/20260430100208-19-731205/video-bri-cetak-laba-bersih-rp-155-triliun-di-q1-2026
BBRI,"BRI Panen Dana Murah! CASA Tumbuh 13%, DPK Capai Rp1.555 T",positive,2,https://www.cnbcindonesia.com/market/20260430092748-17-731186/bri-panen-dana-murah-casa-tumbuh-13-dpk-capai-rp1555-t
BBRI,"Kredit BRI Tumbuh 13,7% di Kuartal I-2026",positive,2,https://www.cnbcindonesia.com/market/20260430091901-17-731185/kredit-bri-tumbuh-137-di-kuartal-i-2026
BBRI,"Breaking News! BRI Cetak Laba Rp 15,5 T, Naik 14% di Q1-2026",positive,2,https://www.cnbcindonesia.com/market/20260430063733-17-731117/breaking-news-bri-cetak-laba-rp-155-t-naik-14-di-q1-2026
ANTM,"97% Penjualan Diserap Domestik, Intip Mesin Cuan Antam (ANTM)",positive,2,https://www.cnbcindonesia.com/market/20260429174311-17-731062/97-penjualan-diserap-domestik-intip-mesin-cuan-antam--antm-
BMRI,"Tak Ada yang Diganti, Ini Susunan Komisaris & Direksi Bank Mandiri",neutral,2,https://www.cnbcindonesia.com/market/20260429191732-17-731074/tak-ada-yang-diganti-ini-susunan-komisaris-direksi-bank-mandiri
ANTM,"Bos Antam (ANTM) Ungkap Rencana Pembagian Dividen, Ini Bocorannya",neutral,2,https://www.cnbcindonesia.com/market/20260429184516-17-731071/bos-antam--antm--ungkap-rencana-pembagian-dividen-ini-bocorannya
ANTM,"Tren Pertumbuhan Lanjut, ANTAM Cetak Laba Rp3,66 T di Kuartal I-2026",positive,2,https://www.cnbcindonesia.com/market/20260429184318-17-731070/tren-pertumbuhan-lanjut-antam-cetak-laba-rp366-t-di-kuartal-i-2026
BBNI,"Fundamental Kuat, BNI Optimis Genjot Kinerja 2026",positive,2,https://www.cnbcindonesia.com/market/20260429181823-17-731059/fundamental-kuat-bni-optimis-genjot-kinerja-2026
ANTM,"Antam (ANTM) Bukukan Kinerja Fantastis, Ternyata Ini Alasannya",neutral,2,https://www.cnbcindonesia.com/market/20260429170927-17-731042/antam--antm--bukukan-kinerja-fantastis-ternyata-ini-alasannya
BMRI,"Catat! Bank Mandiri (BMRI) Mau Buyback Saham Rp1,16 Triliun",neutral,2,https://www.cnbcindonesia.com/market/20260429163719-17-731015/catat-bank-mandiri--bmri--mau-buyback-saham-rp116-triliun
BMRI,Tok! Bank Mandiri (BMRI) Sepakat Tebar Dividen Rp44 Triliun,positive,2,https://www.cnbcindonesia.com/market/20260429153142-17-730979/tok-bank-mandiri--bmri--sepakat-tebar-dividen-rp44-triliun
BBNI,"Laba Bersih BNI (BBNI) Tembus Rp5,6 Triliun per Kuartal I-2026",positive,2,https://www.cnbcindonesia.com/market/20260429112040-18-730843/laba-bersih-bni--bbni--tembus-rp56-triliun-per-kuartal-i-2026
BBNI,"Breaking News! BNI (BBNI) Cetak Laba Rp5,66 Triliun di Kuartal I-2026",positive,2,https://www.cnbcindonesia.com/market/20260429095421-17-730807/breaking-news-bni--bbni--cetak-laba-rp566-triliun-di-kuartal-i-2026
